,BKI US Equity
2023-08-15,38.269
2023-08-16,38.264
2023-08-17,38.213
2023-08-18,38.213
2023-08-19,38.213
2023-08-20,38.213
2023-08-21,38.202
2023-08-22,38.228
2023-08-23,38.172
2023-08-24,38.439
2023-08-25,38.398
2023-08-26,38.398
2023-08-27,38.398
2023-08-28,38.834
2023-08-29,38.88
2023-08-30,38.921
2023-08-31,38.911
2023-09-01,38.911
2023-09-02,38.911
2023-09-03,38.911
2023-09-04,38.911
2023-09-05,38.911
2023-09-06,38.911
2023-09-07,38.911
2023-09-08,38.911
2023-09-09,38.911
2023-09-10,38.911
2023-09-11,38.911
2023-09-12,38.911
2023-09-13,38.911
2023-09-14,38.911
2023-09-15,38.911
2023-09-16,38.911
2023-09-17,38.911
2023-09-18,38.911
2023-09-19,38.911
2023-09-20,38.911
2023-09-21,38.911
2023-09-22,38.911
2023-09-23,38.911
2023-09-24,38.911
2023-09-25,38.911
2023-09-26,38.911
2023-09-27,38.911
2023-09-28,38.911
2023-09-29,38.911
2023-09-30,38.911
2023-10-01,38.911
2023-10-02,38.911
2023-10-03,38.911
2023-10-04,38.911
2023-10-05,38.911
2023-10-06,38.911
2023-10-07,38.911
2023-10-08,38.911
2023-10-09,38.911
2023-10-10,38.911
2023-10-11,38.911
2023-10-12,38.911
2023-10-13,38.911
2023-10-14,38.911
2023-10-15,38.911
2023-10-16,38.911
2023-10-17,38.911
2023-10-18,38.911
2023-10-19,38.911
2023-10-20,38.911
2023-10-21,38.911
2023-10-22,38.911
2023-10-23,38.911
2023-10-24,38.911
2023-10-25,38.911
2023-10-26,38.911
2023-10-27,38.911
2023-10-28,38.911
2023-10-29,38.911
2023-10-30,38.911
2023-10-31,38.911
2023-11-01,38.911
2023-11-02,38.911
2023-11-03,38.911
2023-11-04,38.911
2023-11-05,38.911
2023-11-06,38.911
2023-11-07,38.911
2023-11-08,38.911
2023-11-09,38.911
2023-11-10,38.911
2023-11-11,38.911
2023-11-12,38.911
2023-11-13,38.911
2023-11-14,38.911
2023-11-15,38.911
2023-11-16,38.911
2023-11-17,38.911
2023-11-18,38.911
2023-11-19,38.911
2023-11-20,38.911
2023-11-21,38.911
2023-11-22,38.911
2023-11-23,38.911
2023-11-24,38.911
2023-11-25,38.911
2023-11-26,38.911
2023-11-27,38.911
2023-11-28,38.911
2023-11-29,38.911
2023-11-30,38.911
2023-12-01,38.911
2023-12-02,38.911
2023-12-03,38.911
2023-12-04,38.911
2023-12-05,38.911
2023-12-06,38.911
2023-12-07,38.911
2023-12-08,38.911
2023-12-09,38.911
2023-12-10,38.911
2023-12-11,38.911
2023-12-12,38.911
2023-12-13,38.911
2023-12-14,38.911
2023-12-15,38.911
2023-12-16,38.911
2023-12-17,38.911
2023-12-18,38.911
2023-12-19,38.911
2023-12-20,38.911
2023-12-21,38.911
2023-12-22,38.911
2023-12-23,38.911
2023-12-24,38.911
2023-12-25,38.911
2023-12-26,38.911
2023-12-27,38.911
2023-12-28,38.911
2023-12-29,38.911
2023-12-30,38.911
2023-12-31,38.911
2024-01-01,38.911
2024-01-02,38.911
2024-01-03,38.911
2024-01-04,38.911
2024-01-05,38.911
2024-01-06,38.911
2024-01-07,38.911
2024-01-08,38.911
2024-01-09,38.911
2024-01-10,38.911
2024-01-11,38.911
2024-01-12,38.911
2024-01-13,38.911
2024-01-14,38.911
2024-01-15,38.911
2024-01-16,38.911
2024-01-17,38.911
2024-01-18,38.911
2024-01-19,38.911
2024-01-20,38.911
2024-01-21,38.911
2024-01-22,38.911
2024-01-23,38.911
2024-01-24,38.911
2024-01-25,38.911
2024-01-26,38.911
2024-01-27,38.911
2024-01-28,38.911
2024-01-29,38.911
2024-01-30,38.911
2024-01-31,38.911
2024-02-01,38.911
2024-02-02,38.911
2024-02-03,38.911
2024-02-04,38.911
2024-02-05,38.911
2024-02-06,38.911
2024-02-07,38.911
2024-02-08,38.911
2024-02-09,38.911
2024-02-10,38.911
2024-02-11,38.911
2024-02-12,38.911
2024-02-13,38.911
2024-02-14,38.911
2024-02-15,38.911
2024-02-16,38.911
2024-02-17,38.911
2024-02-18,38.911
2024-02-19,38.911
2024-02-20,38.911
2024-02-21,38.911
2024-02-22,38.911
2024-02-23,38.911
2024-02-24,38.911
2024-02-25,38.911
2024-02-26,38.911
2024-02-27,38.911
2024-02-28,38.911
2024-02-29,38.911
2024-03-01,38.911
2024-03-02,38.911
2024-03-03,38.911
2024-03-04,38.911
2024-03-05,38.911
2024-03-06,38.911
2024-03-07,38.911
2024-03-08,38.911
2024-03-09,38.911
2024-03-10,38.911
2024-03-11,38.911
2024-03-12,38.911
2024-03-13,38.911
2024-03-14,38.911
2024-03-15,38.911
2024-03-16,38.911
2024-03-17,38.911
2024-03-18,38.911
2024-03-19,38.911
2024-03-20,38.911
2024-03-21,38.911
2024-03-22,38.911
2024-03-23,38.911
2024-03-24,38.911
2024-03-25,38.911
2024-03-26,38.911
2024-03-27,38.911
2024-03-28,38.911
2024-03-29,38.911
2024-03-30,38.911
2024-03-31,38.911
2024-04-01,38.911
2024-04-02,38.911
2024-04-03,38.911
2024-04-04,38.911
2024-04-05,38.911
2024-04-06,38.911
2024-04-07,38.911
2024-04-08,38.911
