2023-02-10,2.994
2023-02-11,2.994
2023-02-12,2.994
2023-02-13,2.994
2023-02-14,3.055
2023-02-15,3.055
2023-02-16,3.055
2023-02-17,3.055
2023-02-18,3.055
2023-02-19,3.055
2023-02-20,3.055
2023-02-21,3.055
2023-02-22,3.045
2023-02-23,3.045
2023-02-24,3.045
2023-02-25,3.045
2023-02-26,3.045
2023-02-27,3.045
2023-02-28,3.045
2023-03-01,3.045
2023-03-02,3.045
2023-03-03,3.045
2023-03-04,3.045
2023-03-05,3.045
2023-03-06,3.045
2023-03-07,3.045
2023-03-08,3.045
2023-03-09,3.049
2023-03-10,3.049
2023-03-11,3.049
2023-03-12,3.049
2023-03-13,3.049
2023-03-14,3.049
2023-03-15,3.049
2023-03-16,3.049
2023-03-17,3.049
2023-03-18,3.049
2023-03-19,3.049
2023-03-20,3.049
2023-03-21,3.049
2023-03-22,3.049
2023-03-23,3.049
2023-03-24,3.049
2023-03-25,3.049
2023-03-26,3.049
2023-03-27,3.049
2023-03-28,3.049
2023-03-29,3.049
2023-03-30,3.049
2023-03-31,3.049
2023-04-01,3.049
2023-04-02,3.049
2023-04-03,3.049
2023-04-04,3.049
2023-04-05,3.049
2023-04-06,3.049
2023-04-07,3.049
2023-04-08,3.049
2023-04-09,3.049
2023-04-10,3.049
2023-04-11,2.95
2023-04-12,2.894
2023-04-13,2.881
2023-04-14,2.881
2023-04-15,2.881
2023-04-16,2.881
2023-04-17,2.874
2023-04-18,2.874
2023-04-19,2.874
2023-04-20,2.874
2023-04-21,2.874
2023-04-22,2.874
2023-04-23,2.874
2023-04-24,2.874
2023-04-25,2.858
2023-04-26,2.858
2023-04-27,2.858
2023-04-28,2.858
2023-04-29,2.858
2023-04-30,2.858
2023-05-01,2.85
2023-05-02,2.85
2023-05-03,2.85
2023-05-04,2.85
2023-05-05,2.86
2023-05-06,2.86
2023-05-07,2.86
2023-05-08,2.86
2023-05-09,2.86
2023-05-10,2.86
2023-05-11,2.86
2023-05-12,2.86
2023-05-13,2.86
2023-05-14,2.86
2023-05-15,2.86
2023-05-16,2.86
2023-05-17,2.86
2023-05-18,2.86
2023-05-19,2.86
2023-05-20,2.86
2023-05-21,2.86
2023-05-22,2.86
2023-05-23,2.86
2023-05-24,2.86
2023-05-25,2.86
2023-05-26,2.86
2023-05-27,2.86
2023-05-28,2.86
2023-05-29,2.86
2023-05-30,2.86
2023-05-31,2.86
2023-06-01,2.86
2023-06-02,2.86
2023-06-03,2.86
2023-06-04,2.86
2023-06-05,2.86
2023-06-06,2.86
2023-06-07,2.86
2023-06-08,2.86
2023-06-09,2.86
2023-06-10,2.86
2023-06-11,2.86
2023-06-12,2.86
2023-06-13,2.86
2023-06-14,2.86
2023-06-15,2.86
2023-06-16,2.86
2023-06-17,2.86
2023-06-18,2.86
2023-06-19,2.86
2023-06-20,2.86
2023-06-21,2.86
2023-06-22,2.86
2023-06-23,2.86
2023-06-24,2.86
2023-06-25,2.86
2023-06-26,2.86
2023-06-27,2.86
2023-06-28,2.86
2023-06-29,2.86
2023-06-30,2.86
2023-07-01,2.86
2023-07-02,2.86
2023-07-03,2.86
2023-07-04,2.86
2023-07-05,2.86
2023-07-06,2.86
2023-07-07,2.86
2023-07-08,2.86
2023-07-09,2.86
2023-07-10,2.86
2023-07-11,2.86
2023-07-12,2.86
2023-07-13,2.86
2023-07-14,2.86
2023-07-15,2.86
2023-07-16,2.86
2023-07-17,2.847
2023-07-18,2.847
2023-07-19,2.847
2023-07-20,2.847
2023-07-21,2.847
2023-07-22,2.847
2023-07-23,2.847
2023-07-24,2.847
2023-07-25,2.818
2023-07-26,2.828
2023-07-27,2.828
2023-07-28,2.828
2023-07-29,2.828
2023-07-30,2.794
2023-07-31,2.794
2023-08-01,2.792
2023-08-02,2.792
2023-08-03,2.792
2023-08-04,2.792
2023-08-05,2.792
2023-08-06,2.792
2023-08-07,2.787
2023-08-08,2.787
2023-08-09,2.787
2023-08-10,2.787
2023-08-11,2.787
2023-08-12,2.787
2023-08-13,2.787
2023-08-14,2.773
2023-08-15,2.773
2023-08-16,2.773
2023-08-17,2.773
2023-08-18,2.773
2023-08-19,2.773
2023-08-20,2.773
2023-08-21,2.773
2023-08-22,2.773
2023-08-23,2.773
2023-08-24,2.773
2023-08-25,2.773
2023-08-26,2.773
2023-08-27,2.773
2023-08-28,2.774
2023-08-29,2.774
2023-08-30,2.774
2023-08-31,2.774
2023-09-01,2.773
2023-09-02,2.773
2023-09-03,2.773
2023-09-04,2.773
2023-09-05,2.757
2023-09-06,2.757
2023-09-07,2.757
2023-09-08,2.757
2023-09-09,2.757
2023-09-10,2.757
2023-09-11,2.757
2023-09-12,2.757
2023-09-13,2.757
2023-09-14,2.757
2023-09-15,2.757
2023-09-16,2.757
2023-09-17,2.757
2023-09-18,2.757
2023-09-19,2.757
2023-09-20,2.757
2023-09-21,2.757
2023-09-22,2.757
2023-09-23,2.757
2023-09-24,2.757
2023-09-25,2.757
2023-09-26,2.757
2023-09-27,2.757
2023-09-28,2.757
2023-09-29,2.757
2023-09-30,2.757
2023-10-01,2.757
2023-10-02,2.757
2023-10-03,2.757
2023-10-04,2.757
2023-10-05,2.757
2023-10-06,2.757
2023-10-07,2.757
2023-10-08,2.757
2023-10-09,2.755
2023-10-10,2.754
2023-10-11,2.751
2023-10-12,2.751
2023-10-13,2.751
2023-10-14,2.751
2023-10-15,2.751
2023-10-16,2.751
2023-10-17,2.724
2023-10-18,2.701
2023-10-19,2.662
2023-10-20,2.655
2023-10-21,2.655
2023-10-22,2.655
2023-10-23,2.655
2023-10-24,2.67
2023-10-25,2.67
2023-10-26,2.67
2023-10-27,2.67
2023-10-28,2.67
2023-10-29,2.636
2023-10-30,2.636
2023-10-31,2.636
2023-11-01,2.643
2023-11-02,2.643
2023-11-03,2.643
2023-11-04,2.643
2023-11-05,2.643
2023-11-06,2.64
2023-11-07,2.64
2023-11-08,2.64
2023-11-09,2.64
2023-11-10,2.64
2023-11-11,2.64
2023-11-12,2.64
2023-11-13,2.64
2023-11-14,2.64
2023-11-15,2.64
2023-11-16,2.64
2023-11-17,2.64
2023-11-18,2.64
2023-11-19,2.64
2023-11-20,2.64
2023-11-21,2.64
2023-11-22,2.64
2023-11-23,2.64
2023-11-24,2.64
2023-11-25,2.64
2023-11-26,2.64
2023-11-27,2.64
2023-11-28,2.627
2023-11-29,2.627
2023-11-30,2.627
2023-12-01,2.627
2023-12-02,2.627
2023-12-03,2.627
2023-12-04,2.627
2023-12-05,2.627
2023-12-06,2.627
2023-12-07,2.627
2023-12-08,2.627
2023-12-09,2.627
2023-12-10,2.627
2023-12-11,2.627
2023-12-12,2.627
2023-12-13,2.627
2023-12-14,2.627
2023-12-15,2.627
2023-12-16,2.627
2023-12-17,2.627
2023-12-18,2.627
2023-12-19,2.627
2023-12-20,2.627
2023-12-21,2.627
2023-12-22,2.627
2023-12-23,2.627
2023-12-24,2.627
2023-12-25,2.627
2023-12-26,2.627
2023-12-27,2.627
2023-12-28,2.627
2023-12-29,2.627
2023-12-30,2.627
2023-12-31,2.627
2024-01-01,2.627
2024-01-02,2.627
